Unnamed: 0,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities,description
13,Jepson Center & Telfair Children's Art Museum (CAM),Art museum,4.5,1251.0,"Art museum, Modern art museum, Tourist attraction","Jepson Center & Telfair Children's Art Museum (CAM), 207 W York St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,5629.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Jepson Center & Telfair Children's Art Museum (CAM) in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
14,Mercer Williams House Museum,Museum,4.5,1118.0,"Museum, Historical landmark, Tourist attraction","Mercer Williams House Museum, 429 Bull St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,5031.0,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Mercer Williams House Museum in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
15,Ships Of The Sea Maritime Museum,Historical place museum,4.5,1013.0,"Historical place museum, Museum, Tourist attraction","Ships Of The Sea Maritime Museum, 41 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah,USA,GA,,Cultural,4558.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Ships Of The Sea Maritime Museum in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
16,Telfair Academy,Museum,4.6,950.0,"Museum, Art museum, Historical landmark, History museum, Tourist attraction","Telfair Academy, 121 Barnard St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,4370.0,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Telfair Academy in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
17,Davenport House Museum Entrance and Shop,Museum,4.6,943.0,"Museum, Tourist attraction","Davenport House Museum Entrance and Shop, 323 E Broughton St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,4337.799999999999,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Davenport House Museum Entrance and Shop in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
18,Juliette Gordon Low Birthplace Museum,History museum,4.7,731.0,"History museum, Event venue, Historical landmark","Juliette Gordon Low Birthplace Museum, 10 E Oglethorpe Ave, Savannah, GA 31401",Savannah,USA,GA,,Cultural,3435.7000000000003,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Juliette Gordon Low Birthplace Museum in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
19,Oglethorpe Square,Park,4.7,679.0,"Park, Tourist attraction","Oglethorpe Square, 127 Abercorn St, Savannah, GA 31401",Savannah,USA,GA,,Nature,3191.3,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Oglethorpe Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
20,Emmet Park,Park,4.6,679.0,"Park, Tourist attraction","Emmet Park, 4089 E Bay St, Savannah, GA 31401",Savannah,USA,GA,,Nature,3123.4,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Emmet Park in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
21,Graveface Museum,Museum,4.8,642.0,Museum,"Graveface Museum, 410 E Lower, Factors Walk, Savannah, GA 31401",Savannah,USA,GA,,Cultural,3081.6,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Graveface Museum in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
22,Telfair Museums,Art museum,4.5,609.0,"Art museum, History museum, Tourist attraction","Telfair Museums, 207 W York St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,2740.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Telfair Museums in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
23,UGA Marine Education Center and Aquarium,Aquarium,4.6,602.0,"Aquarium, Tourist attraction","UGA Marine Education Center and Aquarium, 30 Ocean Science Cir, Savannah, GA 31411",Savannah,USA,GA,,Entertainment,2769.2,4.59,"Atlanta, Augusta, Chattanooga, Savannah","UGA Marine Education Center and Aquarium in Savannah, GA is a fun-filled destination with exciting activities and entertainment options."
24,Pin Point Heritage Museum,Museum,4.9,436.0,"Museum, Heritage museum, Tourist attraction","Pin Point Heritage Museum, 9924 Pin Point Ave, Savannah, GA 31406",Savannah,USA,GA,,Cultural,2136.4,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Pin Point Heritage Museum in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
25,Ralph Mark Gilbert Civil Rights Museum,Museum,4.7,416.0,"Museum, Tourist attraction","Ralph Mark Gilbert Civil Rights Museum, 460 Martin Luther King Jr Blvd, Savannah, GA 31401",Savannah,USA,GA,,Cultural,1955.2,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Ralph Mark Gilbert Civil Rights Museum in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
26,Savannah's Waterfront,Tourist attraction,4.8,400.0,"Tourist attraction, Non-profit organization","Savannah's Waterfront, 1 W River St, Savannah, GA 31401",Savannah,USA,GA,,Entertainment,1920.0,4.59,"Atlanta, Augusta, Chattanooga, Savannah","Savannah's Waterfront in Savannah, GA is a fun-filled destination with exciting activities and entertainment options."
27,Telfair Square,Park,4.7,298.0,"Park, Historical landmark, Tourist attraction","Telfair Square, 121 Barnard St, Savannah, GA 31401",Savannah,USA,GA,,Nature,1400.6,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Telfair Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
28,Savannah Ogeechee Canal Museum and Nature Center,Museum,4.5,289.0,"Museum, Nature preserve, Tourist attraction","Savannah Ogeechee Canal Museum and Nature Center, 681 Fort Argyle Rd, Savannah, GA 31419",Savannah,USA,GA,,Cultural,1300.5,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Savannah Ogeechee Canal Museum and Nature Center in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
29,Beach Institute African American Cultural Center,Museum,4.8,266.0,"Museum, Cultural center, Gift shop, History museum, Tourist attraction","Beach Institute African American Cultural Center, 502 E Harris St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,1276.8,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Beach Institute African American Cultural Center in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
30,Pulaski Square,Park,4.8,258.0,"Park, Tourist attraction","Pulaski Square, Savannah, GA 31401",Savannah,USA,GA,,Nature,1238.4,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Pulaski Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
31,SCAD Museum of Art,Museum,4.5,256.0,"Museum, Art gallery, Art museum, College, Modern art museum, Private university, Tourist attraction","SCAD Museum of Art, 601 Turner Blvd, Savannah, GA 31401",Savannah,USA,GA,,Cultural,1152.0,4.53,"Atlanta, Augusta, Chattanooga, Savannah","SCAD Museum of Art in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
32,Columbia Square,Park,4.7,244.0,"Park, Tourist attraction","Columbia Square, Savannah, GA 31401",Savannah,USA,GA,,Nature,1146.8,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Columbia Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
33,Massie Heritage Center,Museum,4.4,219.0,"Museum, Tourist attraction","Massie Heritage Center, 207 E Gordon St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,963.6,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Massie Heritage Center in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
34,Savannah African Art Museum,Museum,4.8,205.0,"Museum, Tourist attraction","Savannah African Art Museum, 201 E 37th St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,984.0,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Savannah African Art Museum in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
35,Whitefield Square,Park,4.7,170.0,"Park, Tourist attraction","Whitefield Square, 431 Habersham St, Savannah, GA 31401",Savannah,USA,GA,,Nature,799.0,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Whitefield Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
36,Harper Fowlkes House,Historical place museum,4.6,156.0,"Historical place museum, Museum, Tourist attraction","Harper Fowlkes House, 230 Barnard St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,717.5999999999999,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Harper Fowlkes House in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
37,Cockspur Island Lighthouse,Tourist attraction,4.7,121.0,Tourist attraction,"Cockspur Island Lighthouse, Savannah, GA 31410",Savannah,USA,GA,,Entertainment,568.7,4.59,"Atlanta, Augusta, Chattanooga, Savannah","Cockspur Island Lighthouse in Savannah, GA is a fun-filled destination with exciting activities and entertainment options."
38,Green-Meldrim House,Historical landmark,4.7,101.0,Historical landmark,"Green-Meldrim House, 14 W Macon St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,474.7000000000001,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Green-Meldrim House in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
39,SCADstory,Tourist attraction,4.9,81.0,"Tourist attraction, Amusement park ride, Museum, Private university","SCADstory, 342 Bull St, Savannah, GA 31401",Savannah,USA,GA,,Entertainment,396.9,4.59,"Atlanta, Augusta, Chattanooga, Savannah","SCADstory in Savannah, GA is a fun-filled destination with exciting activities and entertainment options."
40,Casimir Pulaski Monument,Monument,4.7,69.0,"Monument, Tourist attraction","Casimir Pulaski Monument, 4 W Taylor St, Savannah, GA 31401",Savannah,USA,GA,,Cultural,324.3,4.53,"Atlanta, Augusta, Chattanooga, Savannah","Casimir Pulaski Monument in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
41,Savannah Cruzers,Tourist attraction,4.8,51.0,"Tourist attraction, Sightseeing tour agency, Tour agency, Tour operator, Tourist information center","Savannah Cruzers, 330 Bonaventure Rd, Savannah, GA 31404",Savannah,USA,GA,,Entertainment,244.8,4.59,"Atlanta, Augusta, Chattanooga, Savannah","Savannah Cruzers in Savannah, GA is a fun-filled destination with exciting activities and entertainment options."
42,River Street Savannah Georgia,Tourist attraction,4.7,3259.0,Tourist attraction,"River Street Savannah Georgia, River St, Savannah, GA 31401",Savannah,USA,GA,,Entertainment,15317.3,4.59,"Atlanta, Augusta, Chattanooga, Savannah","River Street Savannah Georgia in Savannah, GA is a fun-filled destination with exciting activities and entertainment options."
43,Johnson Square,Park,4.6,2182.0,"Park, Tourist attraction","Johnson Square, 2 E Bryan St, Savannah, GA 31401",Savannah,USA,GA,,Nature,10037.2,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Johnson Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
44,Monterey Square,Park,4.8,586.0,"Park, Tourist attraction","Monterey Square, 11 W Gordon St, Savannah, GA 31401",Savannah,USA,GA,,Nature,2812.8,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Monterey Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
45,Madison Square,Park,4.8,504.0,"Park, Tourist attraction","Madison Square, 332 Bull St, Savannah, GA 31401",Savannah,USA,GA,,Nature,2419.2,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Madison Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
46,Reynolds Square,Park,4.6,385.0,"Park, Tourist attraction","Reynolds Square, 32 Abercorn St, Savannah, GA 31401",Savannah,USA,GA,,Nature,1770.9999999999998,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Reynolds Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
47,Orleans Square,Park,4.8,289.0,"Park, Tourist attraction","Orleans Square, Savannah, GA 31401",Savannah,USA,GA,,Nature,1387.2,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Orleans Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
48,Greene Square,Park,4.7,129.0,"Park, Tourist attraction","Greene Square, Savannah, GA 31401",Savannah,USA,GA,,Nature,606.3000000000001,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Greene Square in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
49,African-American Monument,Monument,4.7,121.0,"Monument, Tourist attraction","African-American Monument, E Upper Factors Walk, Savannah, GA 31401",Savannah,USA,GA,,Cultural,568.7,4.53,"Atlanta, Augusta, Chattanooga, Savannah","African-American Monument in Savannah, GA offers a rich cultural experience, showcasing local heritage and history."
50,Savannah Riverwalk,Hiking area,4.6,78.0,Hiking area,"Savannah Riverwalk, 201 Port St, Savannah, GA 31401",Savannah,USA,GA,,Nature,358.79999999999995,4.67,"Atlanta, Augusta, Chattanooga, Savannah","Savannah Riverwalk in Savannah, GA is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
51,Rousakis Plaza Echo Square,Tourist attraction,4.7,57.0,Tourist attraction,"Rousakis Plaza Echo Square, 305 E River St, Savannah, GA 31401",Savannah,USA,GA,,Entertainment,267.90000000000003,4.59,"Atlanta, Augusta, Chattanooga, Savannah","Rousakis Plaza Echo Square in Savannah, GA is a fun-filled destination with exciting activities and entertainment options."
52,The Dallas World Aquarium,Aquarium,4.4,24732.0,"Aquarium, Restaurant, Tourist attraction, Zoo","The Dallas World Aquarium, 1801 N Griffin St, Dallas, TX 75202",Dallas,USA,TX,,Entertainment,108820.8,4.43,"Austin, Dallas, Houston, San-antonio","The Dallas World Aquarium in Dallas, TX is a fun-filled destination with exciting activities and entertainment options."
53,Dallas Zoo,Zoo,4.5,20895.0,"Zoo, Non-profit organization, Tourist attraction, Wildlife park","Dallas Zoo, 650 S R.L. Thornton Fwy, Dallas, TX 75203",Dallas,USA,TX,,Entertainment,94027.5,4.43,"Austin, Dallas, Houston, San-antonio","Dallas Zoo in Dallas, TX is a fun-filled destination with exciting activities and entertainment options."
54,Klyde Warren Park,Park,4.7,16308.0,"Park, Tourist attraction","Klyde Warren Park, 2012 Woodall Rodgers Fwy, Dallas, TX 75201",Dallas,USA,TX,,Nature,76647.6,4.66,"Austin, Dallas, Houston, San-antonio","Klyde Warren Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
55,Dallas Museum of Art,Art museum,4.7,11130.0,"Art museum, Art gallery, Tourist attraction","Dallas Museum of Art, 1717 N Harwood St, Dallas, TX 75201",Dallas,USA,TX,,Cultural,52311.0,4.63,"Austin, Dallas, Houston, San-antonio","Dallas Museum of Art in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
56,The Sixth Floor Museum at Dealey Plaza,History museum,4.6,9363.0,"History museum, Museum, Tourist attraction","The Sixth Floor Museum at Dealey Plaza, 411 Elm St, Dallas, TX 75202",Dallas,USA,TX,,Cultural,43069.8,4.63,"Austin, Dallas, Houston, San-antonio","The Sixth Floor Museum at Dealey Plaza in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
57,White Rock Lake Park,Park,4.7,4441.0,"Park, Tourist attraction","White Rock Lake Park, 8300 E Lawther Dr, Dallas, TX 75218",Dallas,USA,TX,,Nature,20872.7,4.66,"Austin, Dallas, Houston, San-antonio","White Rock Lake Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
58,John F. Kennedy Memorial Plaza,Monument,4.5,4275.0,"Monument, Memorial park, Plaza, Tourist attraction","John F. Kennedy Memorial Plaza, 646 Main St, Dallas, TX 75202",Dallas,USA,TX,,Cultural,19237.5,4.63,"Austin, Dallas, Houston, San-antonio","John F. Kennedy Memorial Plaza in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
59,Giant Eyeball,Tourist attraction,4.3,4184.0,"Tourist attraction, Sculpture","Giant Eyeball, 1601 Main St, Dallas, TX 75201",Dallas,USA,TX,,Entertainment,17991.2,4.43,"Austin, Dallas, Houston, San-antonio","Giant Eyeball in Dallas, TX is a fun-filled destination with exciting activities and entertainment options."
60,Pioneer Plaza,Park,4.6,4153.0,"Park, Tourist attraction","Pioneer Plaza, 1428 Young St, Dallas, TX 75202",Dallas,USA,TX,,Nature,19103.8,4.66,"Austin, Dallas, Houston, San-antonio","Pioneer Plaza in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
61,Bachman Lake Park,Park,4.5,4045.0,"Park, Campground, Tourist attraction","Bachman Lake Park, 3500 W Northwest Hwy, Dallas, TX 75220",Dallas,USA,TX,,Nature,18202.5,4.66,"Austin, Dallas, Houston, San-antonio","Bachman Lake Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
62,Museum of Illusions Dallas,Museum,4.4,2929.0,Museum,"Museum of Illusions Dallas, 701 Ross Ave, Dallas, TX 75202",Dallas,USA,TX,,Cultural,12887.6,4.63,"Austin, Dallas, Houston, San-antonio","Museum of Illusions Dallas in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
63,Frontiers of Flight Museum,Museum,4.7,2846.0,"Museum, Gift shop, Tourist attraction","Frontiers of Flight Museum, 6911 Lemmon Ave, Dallas, TX 75209",Dallas,USA,TX,,Cultural,13376.2,4.63,"Austin, Dallas, Houston, San-antonio","Frontiers of Flight Museum in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
64,Main Street Garden Park,Park,4.5,2203.0,"Park, Tourist attraction","Main Street Garden Park, 1902 Main St, Dallas, TX 75201",Dallas,USA,TX,,Nature,9913.5,4.66,"Austin, Dallas, Houston, San-antonio","Main Street Garden Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
65,Trammell Crow Park,Park,4.5,2154.0,"Park, Tourist attraction","Trammell Crow Park, 3700 Sylvan Ave, Dallas, TX 75207",Dallas,USA,TX,,Nature,9693.0,4.66,"Austin, Dallas, Houston, San-antonio","Trammell Crow Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
66,Dallas Holocaust and Human Rights Museum,Museum,4.6,2113.0,"Museum, History museum, Local history museum, Tourist attraction","Dallas Holocaust and Human Rights Museum, 300 N Houston St, Dallas, TX 75202",Dallas,USA,TX,,Cultural,9719.8,4.63,"Austin, Dallas, Houston, San-antonio","Dallas Holocaust and Human Rights Museum in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
67,Children's Aquarium Dallas at Fair Park,Aquarium,4.6,1864.0,"Aquarium, Tourist attraction","Children's Aquarium Dallas at Fair Park, 1462 1st Ave, Dallas, TX 75210",Dallas,USA,TX,,Entertainment,8574.4,4.43,"Austin, Dallas, Houston, San-antonio","Children's Aquarium Dallas at Fair Park in Dallas, TX is a fun-filled destination with exciting activities and entertainment options."
68,Lake Cliff Park,Park,4.5,1630.0,"Park, Tourist attraction","Lake Cliff Park, 300 E Colorado Blvd, Dallas, TX 75201",Dallas,USA,TX,,Nature,7335.0,4.66,"Austin, Dallas, Houston, San-antonio","Lake Cliff Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
69,Nasher Sculpture Center,Museum,4.5,1562.0,"Museum, Art center, Art museum, Sculpture museum, Tourist attraction","Nasher Sculpture Center, 2001 Flora St, Dallas, TX 75201",Dallas,USA,TX,,Cultural,7029.0,4.63,"Austin, Dallas, Houston, San-antonio","Nasher Sculpture Center in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
70,"Immersive Gamebox- Deep Ellum, Dallas",Tourist attraction,5.0,1109.0,Tourist attraction,"Immersive Gamebox- Deep Ellum, Dallas, 2525 Elm St Suite 110, Dallas, TX 75226",Dallas,USA,TX,,Entertainment,5545.0,4.43,"Austin, Dallas, Houston, San-antonio","Immersive Gamebox- Deep Ellum, Dallas in Dallas, TX is a fun-filled destination with exciting activities and entertainment options."
71,Civic Garden,Park,4.4,1091.0,"Park, Tourist attraction","Civic Garden, 1014 Main St, Dallas, TX 75202",Dallas,USA,TX,,Nature,4800.400000000001,4.66,"Austin, Dallas, Houston, San-antonio","Civic Garden in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
72,Thanks-Giving Square,Tourist attraction,4.6,1072.0,"Tourist attraction, Chapel, Garden, Historical landmark","Thanks-Giving Square, 1627 Pacific Ave, Dallas, TX 75201",Dallas,USA,TX,,Entertainment,4931.2,4.43,"Austin, Dallas, Houston, San-antonio","Thanks-Giving Square in Dallas, TX is a fun-filled destination with exciting activities and entertainment options."
73,Samuell-Grand Park,Park,4.5,1038.0,"Park, Tourist attraction","Samuell-Grand Park, 6200 E Grand Ave, Dallas, TX 75223",Dallas,USA,TX,,Nature,4671.0,4.66,"Austin, Dallas, Houston, San-antonio","Samuell-Grand Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
74,T. & P. Hill,Park,4.6,907.0,"Park, Tourist attraction","T. & P. Hill, White Rock Creek & Lake Trails, Dallas, TX 75214",Dallas,USA,TX,,Nature,4172.2,4.66,"Austin, Dallas, Houston, San-antonio","T. & P. Hill in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
75,Crow Museum of Asian Art of The University of Texas at Dallas,Art museum,4.6,711.0,"Art museum, Museum, Tourist attraction","Crow Museum of Asian Art of The University of Texas at Dallas, 2010 Flora St, Dallas, TX 75201",Dallas,USA,TX,,Cultural,3270.6,4.63,"Austin, Dallas, Houston, San-antonio","Crow Museum of Asian Art of The University of Texas at Dallas in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
76,Old Red Museum of Dallas County History & Culture,Museum,4.3,601.0,"Museum, Historical place, Historical landmark, History museum, Tourist attraction, Wedding venue","Old Red Museum of Dallas County History & Culture, 100 S Houston St, Dallas, TX 75202",Dallas,USA,TX,,Cultural,2584.3,4.63,"Austin, Dallas, Houston, San-antonio","Old Red Museum of Dallas County History & Culture in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
77,The Grassy Knoll,Historical landmark,4.6,597.0,"Historical landmark, Tourist attraction","The Grassy Knoll, 411 Elm St, Dallas, TX 75202",Dallas,USA,TX,,Cultural,2746.2,4.63,"Austin, Dallas, Houston, San-antonio","The Grassy Knoll in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
78,Trinity Overlook Park,Park,4.5,563.0,"Park, Tourist attraction","Trinity Overlook Park, 110 W Commerce St, Dallas, TX 75205",Dallas,USA,TX,,Nature,2533.5,4.66,"Austin, Dallas, Houston, San-antonio","Trinity Overlook Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
79,Meadows Museum,Art museum,4.7,511.0,"Art museum, Tourist attraction","Meadows Museum, 5900 Bishop Blvd, Dallas, TX 75205",Dallas,USA,TX,,Cultural,2401.7000000000003,4.63,"Austin, Dallas, Houston, San-antonio","Meadows Museum in Dallas, TX offers a rich cultural experience, showcasing local heritage and history."
80,Griggs Park,Park,4.6,478.0,"Park, Tourist attraction","Griggs Park, 2200 Hugo St, Dallas, TX 75204",Dallas,USA,TX,,Nature,2198.8,4.66,"Austin, Dallas, Houston, San-antonio","Griggs Park in Dallas, TX is a beautiful natural attraction perfect for outdoor lovers and scenic experiences."
